 2017-03-06 10:06:33,485 [P2348/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.10 application starting on 5CG5264FCM
 2017-03-06 10:06:37,564 [P2348/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-03-06 10:06:37,638 [P2348/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-03-06 10:06:37,773 [P2348/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-03-06 10:06:37,788 [P2348/D2/T1] INFO  DotSee.AutoNode - AutoNode: Loading configuration...
 2017-03-06 10:06:37,788 [P2348/D2/T1] INFO  DotSee.AutoNode - AutoNode: Loading configuration complete
 2017-03-06 10:06:37,889 [P2348/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4479ms)
 2017-03-06 10:06:38,774 [P2348/D2/T12] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:52441/umbraco (UmbracoModule request)
 2017-03-06 10:06:39,257 [P2348/D2/T12] INFO  umbraco.content - Load Xml from file...
 2017-03-06 10:06:39,263 [P2348/D2/T12] INFO  umbraco.content - Loaded Xml from file.
 2017-03-06 10:06:39,883 [P2348/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-03-06 10:06:39,885 [P2348/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2017-03-06 10:06:40,101 [P2348/D2/T12] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-06 10:07:39,285 [P2348/D2/T12] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-03-05 10:07:39
 2017-03-06 10:07:39,398 [P2348/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-03-06 10:07:39,399 [P2348/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
